id,re_x,re_y
IS481_RS01275,4670.0,1009.33
IS481_RS01280,1953.33,1557.33
IS481_RS01285,583.67,649.83
IS481_RS01290,1486.0,1248.33
IS481_RS01295,1690.83,1710.0
IS481_RS01300,2759.33,2424.17
IS481_RS01305,521.5,398.5
IS481_RS01310,1492.33,934.5
IS481_RS01315,4972.83,3983.0
IS481_RS01320,12205.33,13027.83
IS481_RS01325,1619.33,2259.33
IS481_RS01330,4566.33,6514.0
IS481_RS01335,11303.75,27972.17
IS481_RS01340,4084.83,3834.83
IS481_RS01345,2768.92,2409.58
IS481_RS01350,2533.83,2683.33
IS481_RS01355,4037.75,2914.83
IS481_RS01360,4301.5,3550.5
IS481_RS01365,5029.0,6183.83
IS481_RS01370,1312.67,1975.67
IS481_RS01375,1796.67,886.0
IS481_RS01380,744.42,1094.33
IS481_RS01385,1640.92,2154.83
IS481_RS01390,474.67,646.5
IS481_RS01395,206.67,165.0
IS481_RS01400,100.5,122.17
IS481_RS01405,119.0,81.17
IS481_RS01410,257.0,177.83
IS481_RS01415,64.0,69.0
IS481_RS01420,252.0,277.5
IS481_RS01425,1792.0,1804.83
IS481_RS01430,659.5,459.17
IS481_RS01435,1449.0,952.5
IS481_RS01440,201.83,253.83
IS481_RS01445,1162.83,1351.33
IS481_RS01450,426.25,1047.58
IS481_RS01455,1456.75,2050.75
IS481_RS01460,3237.0,2024.33
IS481_RS01465,10954.33,13230.33
IS481_RS01470,4505.67,1059.83
IS481_RS01475,1209.33,247.83
IS481_RS01480,513.17,99.17
IS481_RS01485,1562.03,637.0
IS481_RS01490,1854.87,855.33
IS481_RS01495,106.33,92.33
IS481_RS01500,237.67,249.5
IS481_RS01505,179.33,141.5
IS481_RS01510,138.25,101.0
IS481_RS01515,28.0,51.0
IS481_RS01520,77.83,111.17
IS481_RS01525,122.5,172.33
IS481_RS01530,57.83,70.25
IS481_RS01535,72.0,86.67
IS481_RS01540,749.33,502.5
IS481_RS01545,1170.5,962.33
IS481_RS01550,1537.83,6749.17
IS481_RS01555,1573.0,1371.0
IS481_RS01560,1303.0,575.5
IS481_RS01565,671.0,636.0
IS481_RS01570,560.5,653.33
IS481_RS01575,926.33,547.75
IS481_RS01580,496.0,355.17
IS481_RS01585,282.83,322.5
IS481_RS01590,159.83,135.83
IS481_RS01595,182.33,135.17
IS481_RS01600,108.0,81.0
IS481_RS01605,111.33,87.33
IS481_RS01610,1736.5,1583.0
IS481_RS01615,936.33,519.83
IS481_RS01620,993.5,849.17
IS481_RS01625,1382.83,1164.33
IS481_RS01630,200.5,216.5
IS481_RS01635,3877.33,2341.5
IS481_RS01640,633.83,502.67
IS481_RS01645,5110.5,8130.5
IS481_RS01650,1987.5,1016.0
IS481_RS01655,2547.67,974.0
IS481_RS01660,1522.0,1605.83
IS481_RS01665,1412.33,1608.17
IS481_RS01670,2724.67,2109.83
IS481_RS01675,3065.5,3630.17
IS481_RS01680,5076.17,3723.67
IS481_RS01685,4438.33,2588.33
IS481_RS01690,3034.33,4779.33
IS481_RS01695,4558.0,7533.17
IS481_RS01700,13862.83,15246.83
IS481_RS01705,5476.5,9593.67
IS481_RS01710,4586.33,4484.17
IS481_RS01715,3375.0,2126.67
IS481_RS01720,2960.5,1741.0
IS481_RS01725,1338.33,758.17
IS481_RS01730,1988.33,1204.33
IS481_RS01735,1538.67,1565.0
IS481_RS01740,4748.67,2806.33
IS481_RS01745,4223.83,2907.83
IS481_RS01750,10246.17,9829.0
IS481_RS01755,1954.5,1590.5
IS481_RS01760,2209.17,1384.33
IS481_RS01765,6267.17,3078.5
IS481_RS01770,8545.75,10023.33
IS481_RS01775,12925.75,20265.67
IS481_RS01780,67438.75,267392.5
IS481_RS01785,591.0,889.83
IS481_RS01790,647.0,750.0
IS481_RS01795,999.0,1167.67
