id,re_x,re_y
IS481_01905,4607.0,8962.33
IS481_01910,15160.25,25913.0
IS481_01915,992.83,518.83
IS481_01920,1700.92,4073.0
IS481_01925,2752.17,3854.0
IS481_01930,3902.83,6227.83
IS481_01935,4668.17,6395.17
IS481_01940,1032.83,1703.33
IS481_01945,1979.5,1728.0
IS481_01950,8572.42,9370.5
IS481_01955,17855.5,19680.83
IS481_01960,6556.25,5406.0
IS481_01965,1657.0,1219.33
IS481_01970,2843.5,2336.0
IS481_01975,2129.58,2009.0
IS481_01980,9603.33,10984.33
IS481_01985,1612.83,1521.58
IS481_01990,347.33,395.67
IS481_01995,5143.83,1432.67
IS481_02000,82.5,88.33
IS481_02005,312.0,549.58
IS481_02010,428.0,985.83
IS481_02015,260.5,313.33
IS481_02020,3824.5,3677.17
IS481_02025,2483.42,2205.33
IS481_02030,4339.0,2438.5
IS481_02040,3433.83,2736.17
IS481_02045,13244.0,11764.0
IS481_02050,3438.67,3080.42
IS481_02055,1529.5,1792.67
IS481_02060,6255.5,4897.67
IS481_02065,2597.83,3716.5
IS481_02070,523.67,397.5
IS481_02075,2022.33,1216.67
IS481_02080,6832.17,1083.08
IS481_02085,32414.5,7099.42
IS481_02090,15841.33,3130.0
IS481_02095,8408.17,2370.17
IS481_02100,8163.58,1770.17
IS481_02105,10798.25,15520.17
IS481_02110,9164.0,8889.5
IS481_02115,8950.5,7143.0
IS481_02120,14952.67,11382.17
IS481_02125,6726.0,4822.83
IS481_02130,19854.58,21504.33
IS481_02135,11452.0,10786.5
IS481_02140,2258.17,2744.17
IS481_02145,14127.83,17296.0
IS481_02150,2587.58,4964.5
IS481_02155,2617.5,3667.5
IS481_02160,3085.0,4532.83
IS481_02170,1675.0,890.5
IS481_02175,526.5,274.5
IS481_02180,2738.5,970.5
IS481_02185,2302.0,1640.0
IS481_02190,8539.0,14283.0
IS481_02195,3523.5,4707.0
IS481_02200,2087.5,1498.83
IS481_02205,777.5,32690.17
IS481_02210,6745.0,3402.0
IS481_02215,2769.17,725.83
IS481_02220,1689.5,1277.67
IS481_02225,644.5,595.83
IS481_02230,3282.25,3118.92
